"id_tipo","nombre","utilidad","imagen","calorias","cantidad"
1,"Burpees","Este ejercicio ayuda a trabajar la fuerza y la coordinación. Los músculos que se fortalecen son los tríceps, hombros, abdominales, cuádriceps y glúteos.","Img/burpees.gif","42kcal","30 repeticiones"
1,"Planchas","Es perfecto para trabajar los abdominales y también fortalece la espalda, piernas, glúteos y hombros.","Img/planchas.jpg","16kcal","2 min"
1,"Puente con piernas alternadas","Este ejercicio ayuda a fortificar el abdomen, brazos y piernas, además de que da mayor flexibilidad a la parte baja de la espalda.","Img/puentepi.gif","8 kcal","Por 1 minuto"
2,"Caminata","Hacer caminatas es algo muy útil para las personas sedentarias ya que genera activación en la mayor parte del cuerpo y fortalece las piernas sin lastimar as rodillas.","Img/caminar.webp","150 kcal","Un buen inicio es 30 minutos al día."
2,"Saltar la cuerda","Este es un ejercicio muy completo que hasta incluso ayuda a aumentar la altura. Es perfecto para bajar de peso y tener condición física.","Img/saltar.gif","39 kcal","3 min"
2,"Bailar","Bailar cualquier tipo de ritmo por un periodo no tan extremo, de forma constante causa muchos beneficios: quema de grasa, mayor flexibilidad y mejor condición cardíaca y física..","Img/bailar.gif","200 kcal","Con un ritmo intermedio en 30 minutos se puede llegar a quemar esa cantidad de calorías."
1,"Sentadillas","Su funcionalidad principal es el endurecimiento de gluteos y piernas.","Img/sentadilla.gif","16 kcal","2 min"
1,"Lagartijas","Ayuda a desarrollar músculo y mejorar la fuerza en toda la parte superior del cuerpo.","Img/lagartijas.gif","Aprox. 16 kcal","2 min"
2,"Subir escaleras","Ya sea que subas a alta velocidad o solo a un ritmo constante, tus piernas y abdomen comenzarán a endurecer y a perder grasa, aparte este ejercicio ayuda a tener mejor capacidad pulmonar.","Img/escaleras.gif","129 kcal","Sin para por 15 min"
2,"Press con espalda a la pared","Este ejercicio ayuda a corregir la postura de la espalda y a desarrollar músculo disminuyendo la grasa de las piernas.","Img/press.jpg","45 kcal","Por 5 minutos sin parar"
3,"Estiramiento de cobra","Este ejercicio lo puedes realizar depués dl trabjo y es muy sencillo. Ayuda a descomprimir la espalda sobre todo para personas que pasan mucho tiempo sentadas, es relajante y endurece los músculos.","Img/escobra.jpg","15 kcal","Por 5 min"
3,"Sentadillas búlgaras","Este ejercicio se puede hacer desde la oficina o en cualquier lugar, solo necesitas una silla. Fortalece los cuádriceps y las caderas, además de que practicas tu equilibrio.","Img/senbu.gif","49 kcal","Durante 5 min"
3,"Flexión de pies","Este ejercicio es sencillo pero no por eso no es efectivo, si no que ayuda al retorno de la circulación y mantiene las rodillas flexibles, sobre todo cuando pasas mucho tiempo sentado.","Img/flex.gif","11 kcal","2 min"
3,"Estiramiento del Psoas","Tiene funciones rotatorias, flexoras y abductoras de los muslos y rotatorias y abductoras del tronco. Y al estar uno sentado por mucho tiempo y sin estirar, este se va acortando poco a poco.","Img/psoas.jpg","7 kcal","2 min"
3,"Puente V","Este ayuda a fortalecer la columna, endurece los gemelos, el abdomen y hasta incluso puede ayudarte a aumentar tu altura unos centimetros si lo haces diario.","Img/esV.webp","10 kcal","Durante 2 minutos"
